Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Blackfish,Documentary,2013,"deangomersall ,samanthaberg ,johnjett",gabrielacowperthwaite,7.9,456.0,5.495138,False,en,"Notorious killer whale Tilikum is responsible for the deaths of three individuals, including a top killer whale trainer. Blackfish shows the sometimes devastating consequences of keeping such intelligent and sentient creatures in captivity."
The Wind Rises,Animation,2013,"hideakianno ,junkunimura ,miraishida",hayaomiyazaki,7.7,720.0,9.310866,False,ja,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane."
Jobs,"Drama ,History",2013,"ashtonkutcher ,dermotmulroney ,amandacrew",joshuamichaelstern,6.0,1183.0,14.294019,False,en,The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.
The Mortal Instruments: City of Bones,"Action ,Adventure ,Drama ,Mystery ,Romance ,Fantasy",2013,"lilycollins ,jamiecampbellbower ,kevinzegers",haraldzwart,6.2,1649.0,14.336186999999999,False,en,"In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother disappears, Clary joins forces with a group of Shadowhunters and enters Downworld, an alternate realm filled with demons, vampires, and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future."
Touchy Feely,Drama,2013,"ellenpage ,rosemariedewitt ,scootmcnairy",lynnshelton,5.2,32.0,2.976672,False,en,"Abby is a sought after massage therapist and a free spirit, while her brother Paul thrives on routine, running a failing dental practice with his assistant and daughter Jenny. Suddenly, Abby develops an aversion to bodily contact, which not only makes her unable to do her job, but also severely affects her relationship with her boyfriend. As Abby navigates her way through an identity crisis, her brother's dental practice receives new life when clients seek out his “healing touch.”"
The Butler,Drama,2013,"forestwhitaker ,davidbanner ,michaelraineyjr.",leedaniels,7.2,1134.0,11.061894,False,en,"A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made."
In a World...,Comedy,2013,"lakebell ,fredmelamed ,michaelawatkins",lakebell,6.4,232.0,9.769134,False,en,"An underachieving vocal coach is motivated by her father, the king of movie-trailer voice-overs, to pursue her aspirations of becoming a voice-over star. Amidst pride, sexism and family dysfunction, she sets out to change the voice of a generation."
About Time,"Comedy ,Drama ,Science Fiction",2013,"domhnallgleeson ,rachelmcadams ,billnighy",richardcurtis,7.8,2140.0,11.213913,False,en,"The night after another unsatisfactory New Year party, Tim's father tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life – so he decides to make his world a better place... by getting a girlfriend. Sadly, that turns out not to be as easy as he thinks."
Justice League: Crisis on Two Earths,"Action ,Adventure ,Animation",2010,"markharmon ,williambaldwin ,jameswoods",laurenmontgomery,7.1,152.0,6.1082410000000005,False,en,"A heroic version of Lex Luthor from an alternate universe appears to recruit the Justice League to help save his Earth from the Crime Syndicate, an evil version of the League. What ensues is the ultimate battle of good versus evil in a war that threatens both planets and, through a devious plan launched by Batman's counterpart Owlman, puts the balance of all existence in peril."
The Frozen Ground,"Thriller ,Crime",2013,"nicolascage ,vanessahudgens ,johncusack",scottwalker,6.1,473.0,12.388833,False,en,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.
You're Next,"Horror ,Thriller ,Mystery",2011,"sharnivinson ,nicholastucci ,wendyglenn",adamwingard,6.6,787.0,6.464826,False,en,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back."
Tidal Wave,"Action ,Adventure ,Drama ,Thriller",2009,"parkjoong-hoon ,solkyung-gu ,uhmjung-hwa",yoonje-kyoon,6.4,49.0,4.136356,False,ko,"Man-sik and Yeon-hee, are unsure as to whether they can overcome past wounds and continue being a couple. Dr. Kim, who cautions against a possible mega-tsunami at Haeundae, collapses in agony springing from an unexpected turn-up of his daughter and divorced wife. Hyoung-sik, after rescuing a woman from Seoul, rides out a ferocious storm to gladden her heart. A tsunami which destroys Haeundae symbolizes the establishment of a typical axis called provocation of conflicts, and later the inner spaces of the couples without anything left behind after all conflicts have ended"
Family Band: The Cowsills Story,"Documentary ,Family",2011,bobcowsill,billfilipiak,9.0,1.0,0.06321399999999999,False,en,"The story of the Cowsills, an American band consisting of family members who rose to fame in the 1960s and served as the real-life inspiration for the “The Partridge Family” TV series."
The Chicago 8,Drama,2011,"garycole ,mayimbialik ,stevenculp",pinchasperry,5.0,2.0,0.974037,False,en,Based on actual court transcripts of 8 anti-war protesters on trial for conspiring to cause riots at the 1968 Democratic National Convention in Chicago.
The First Nudie Musical,"Music ,Comedy",1976,"stephennathan ,cindywilliams ,brucekimmel",brucekimmel,4.5,2.0,0.096085,False,en,"The son of famous studio owner is forced to make porno films to keep the bankrupt studio from being made into a shopping center. In an attempt to get back on the high ground he makes a nudie musical. He makes a bet with the debtors who wish to take ownership of the studio, that if they finance the musical and he can't complete it within two weeks, they can foreclose."
Koch,"History ,Documentary",2013,"edkoch ,michaelbloomberg",neilbarsky,5.0,1.0,0.048664,False,en,"A documentary on the former mayor of New York City, Ed Koch."
Evocateur: The Morton Downey Jr. Movie,Documentary,2013,"mortondowney,jr. ,gloriaallred ,michelebachmann",jeremynewberger,6.3,4.0,0.196681,False,en,"Long before O'Reilly and Beck, Morton Downey, Jr., was tearing up the talk-show format with his divisive populism. Between the fistfights, rabid audience, and Mort's cigarette smoke always ""in your face,"" The Morton Downey Jr. Show was billed as ""3-D television,"" ""rock and roll without the music."" Évocateur meditates on the hysteria that ended the '80s and ultimately its most notorious agitator."
Getaway,"Action ,Crime",2013,"ethanhawke ,selenagomez ,jonvoight",courtneysolomon,4.9,248.0,13.224288,False,en,"Former race car driver Brent Magna (Hawke) is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner (Gomez) on a high-speed race against time, at the command of the mysterious villain holding his wife hostage."
Gravity,"Science Fiction ,Thriller ,Drama",2013,"sandrabullock ,georgeclooney ,edharris",alfonsocuarón,7.3,5879.0,18.50194,False,en,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space."
What If,"Drama ,Comedy ,Romance",2013,"danielradcliffe ,zoekazan ,rafespall",michaeldowse,6.7,688.0,10.841891,False,en,"Wallace, a medical school dropout, has been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan, seems to be finding the perfect partner, Wallace decides to put his love life on hold.  It is then that he meets Chantry, an animator who lives with her long term boyfriend Ben.  Wallace and Chantry form an instant connection, striking up a close friendship. But there is no denying the chemistry between them, leading the pair to wonder:  what if the love of your life is actually your best friend?"
Prisoners,"Drama ,Thriller ,Crime",2013,"hughjackman ,jakegyllenhaal ,pauldano",denisvilleneuve,7.9,3183.0,11.96262,False,en,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?"
Out of the Furnace,"Thriller ,Drama ,Crime",2013,"christianbale ,zoesaldana ,woodyharrelson",scottcooper,6.5,731.0,6.760321,False,en,"Two brothers live in the economically-depressed Rust Belt, when a cruel twist of fate lands one in prison. His brother is then lured into one of the most violent crime rings in the Northeast."
Austenland,"Comedy ,Romance",2013,"kerirussell ,j.j.feild ,bretmckenzie",jerushahess,6.6,192.0,8.076305,False,en,"Obsessed with the BBC production of ""Pride and Prejudice"", a woman travels to a Jane Austen theme park in search for her perfect gentleman."
Rush,"Drama ,Action",2013,"danielbrühl ,chrishemsworth ,oliviawilde",ronhoward,7.7,2310.0,10.63552,False,en,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.
The Family,"Crime ,Comedy ,Action",2013,"robertdeniro ,michellepfeiffer ,diannaagron",lucbesson,6.1,1052.0,8.047735000000001,False,en,"The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the witness protection program, where fitting in soon becomes challenging as their old habits die hard."
Short Term 12,Drama,2013,"brielarson ,johngallagherjr. ,kaitlyndever",destincretton,7.9,460.0,12.34835,False,en,"Grace, a compassionate young supervisor at a foster care facility, works with her boyfriend and colleague, Mason, to help at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding."
The To Do List,"Comedy ,Romance",2013,"aubreyplaza ,johnnysimmons ,billhader",maggiecarey,5.5,348.0,7.081403999999999,False,en,"Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall."
Inescapable,"Thriller ,Romance",2012,"alexandersiddig ,joshuajackson ,marisatomei",rubanadda,5.2,13.0,5.949456,False,en,"Twenty-five years ago Adib (Alexander Siddig, Syriana, Cairo Time), a promising young officer in the Syrian military police, suddenly left Damascus under suspicious circumstances. Abandoning the love of his life Fatima (Marisa Tomei, The Wrestler, The Ides of March), he made his way to Canada and wiped the slate clean. With a beautiful wife, two grown daughters, and a great job in Toronto, Adib is confident he s built a successful life from scratch. But when his daughter Muna suddenly disappears in Damascus, his past threatens to violently catch up to him. Teaming up with a Canadian emissary (Joshua Jackson, Fringe), Adib must now confront the turmoil he thought he left behind so many years ago in order to find Muna."
